Stock Symbol,Company Name,DARS Rating,Ex-Div Date,Payout Frequency,Div Payout,Pay Date,Qualified Dividend,Stock Price,Yield,Sector,Industry,Record Date,Declare Date,ADR
FAM,First Trust / Aberdeen Global Opportunity Income Fund Com Shs,N/A,2020-03-02,Monthly,$0.0800,2020-03-16,Unknown,$11.46,8.30%,Uncategorized,Other,2020-03-03,2020-02-20,No
ABR,"Arbor Realty Trust, Inc.",1.4,2020-02-27,Quarter,$0.3000,2020-03-17,Non-Qualified,$14.33,8.11%,Financial,Reit Diversified,2020-02-28,2020-02-14,No
HTGC,Hercules Technology Growth Capital,2.4,2020-02-28,Quarter,$0.3200,2020-03-09,Unknown,$15.64,8.01%,Financial,Diversified Investments,2020-03-02,2020-02-19,No
NS-PR-B,Nustar Energy L P - FXDFR PRF PERPETUAL USD 25 - Ser B,N/A,2020-02-28,Quarter,$0.4766,2020-03-16,Unknown,$23.36,7.99%,Uncategorized,Other,2020-03-02,2020-01-31,No
MITT-PR-A,"AG Mortgage Investment Trust, Inc. 8.25% Preferred Series A",N/A,2020-02-27,Quarter,$0.5156,2020-03-17,Non-Qualified,N/A,7.98%,Uncategorized,Other,2020-02-28,2020-02-14,No
APLE,"Apple Hospitality REIT, Inc.",2.6,2020-03-03,Monthly,$0.1000,2020-03-16,Non-Qualified,$14.59,7.95%,Financial,Real Estate Development,2020-03-04,2020-02-21,No
FCT,First Trust Senior Floating Rate Income Fund II,N/A,2020-03-02,Monthly,$0.0825,2020-03-16,Unknown,$12.49,7.88%,Uncategorized,Other,2020-03-03,2020-02-20,No
BLX,Banco Latinoamericano,2.4,2020-02-25,Quarter,$0.3850,2020-03-12,Unknown,$19.14,7.87%,Financial,Foreign Money Center Banks,2020-02-26,2020-02-14,No
TPCO,Tribune Publishing Co,N/A,2020-02-28,Quarter,$0.2500,2020-03-16,Qualified,$12.40,7.84%,Uncategorized,Other,2020-03-02,2020-02-19,No
DCP-PR-B,DCP Midstream LP - FXDFR PRF PERPETUAL USD 25 - Ser B,N/A,2020-02-28,Quarter,$0.4922,2020-03-16,Unknown,$24.82,7.83%,Uncategorized,Other,2020-03-02,2020-01-22,No
CLDT,Chatham Lodging Trust,2.2,2020-02-27,Monthly,$0.1100,2020-03-27,Non-Qualified,$16.45,7.78%,Financial,Reit Hotel Motel,2020-02-28,2020-02-10,No
STAR-PR-D,iStar Inc - 8% PRF PERPETUAL USD 25 - Ser D,N/A,2020-02-28,Quarter,$0.5000,2020-03-16,Non-Qualified,$25.78,7.75%,Uncategorized,Other,2020-03-02,2020-02-20,No
IGD,ING Global Equity Dividend & Premium Opportunity Fund,1.2,2020-03-02,Monthly,$0.0400,2020-03-16,Unknown,$6.07,7.73%,Financial,Closed End Fund Foreign,2020-03-03,2020-02-18,No
TRTN-PR-A,Triton International Ltd - 8.50% PRF PERPETUAL USD 25 - Ser A,N/A,2020-03-06,Quarter,$0.5313,2020-03-16,Unknown,$27.42,7.71%,Uncategorized,Other,2020-03-09,2020-02-14,No
MITT-PR-B,"AG Mortgage Investment Trust, Inc. Preferred Series B",N/A,2020-02-27,Quarter,$0.5000,2020-03-17,Non-Qualified,N/A,7.70%,Uncategorized,Other,2020-02-28,2020-02-14,No
MHLA,"Maiden Holdings, Ltd. 6.625% No",N/A,2020-02-27,Quarter,$0.4141,2020-03-14,Non-Qualified,$21.43,7.67%,Uncategorized,Other,2020-02-28,2019-10-28,No
FIF,First Trust Energy Infrastructure Fund,N/A,2020-03-02,Monthly,$0.1100,2020-03-16,Unknown,$17.04,7.64%,Uncategorized,Other,2020-03-03,2020-02-20,No
AI-PR-B,Arlington Asset Investment Corp 7 % Cumulative Redeemable Preferred Shares Series B,N/A,2020-02-27,Quarter,$0.4375,2020-03-30,Qualified,$22.94,7.61%,Uncategorized,Other,2020-02-28,2020-02-13,No
PMT-PR-A,PennyMac Mortgage Investment Trust 8.125% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Shares,N/A,2020-02-27,Quarter,$0.5078,2020-03-16,Non-Qualified,$26.70,7.58%,Uncategorized,Other,2020-03-01,2020-02-14,No
BRMK,Broadmark Realty Capital Inc,N/A,2020-02-27,Monthly,$0.0800,2020-03-13,Non-Qualified,$12.62,7.56%,Uncategorized,Other,2020-02-28,2020-02-18,No
CIM-PR-D,Chimera Investment Corp - FXDFR PRF PERPETUAL USD 25 - Ser D,N/A,2020-02-27,Quarter,$0.5000,2020-03-31,Non-Qualified,$26.55,7.53%,Uncategorized,Other,2020-02-28,2020-02-11,No
MDP,Meredith Corp,1.4,2020-02-27,Quarter,$0.5950,2020-03-13,Qualified,$29.61,7.53%,Services,Publishing Periodicals,2020-02-28,2020-02-03,No
PMT-PR-B,PennyMac Mortgage Investment Trust 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Shares,N/A,2020-02-27,Quarter,$0.5000,2020-03-16,Non-Qualified,$26.67,7.49%,Uncategorized,Other,2020-03-01,2020-02-14,No
STAR-PR-G,iStar Financial Inc. Preferred Stock Series G,N/A,2020-02-28,Quarter,$0.4781,2020-03-16,Non-Qualified,N/A,7.42%,Uncategorized,Other,2020-03-02,2020-02-20,No
MITT-PR-C,AG Mortgage Investment Trust Inc - FXDFR PRF PERPETUAL USD 25 - Ser C,N/A,2020-02-27,Quarter,$0.5000,2020-03-17,Non-Qualified,$26.84,7.42%,Uncategorized,Other,2020-02-28,2020-02-14,No
CIM-PR-B,Chimera Investment Corp Cumulative Redeemable Preferred Shares Series B,N/A,2020-02-27,Quarter,$0.5000,2020-03-31,Non-Qualified,$26.79,7.42%,Uncategorized,Other,2020-02-28,2020-02-11,No
RTLR,Rattler Midstream Lp - Unit,N/A,2020-03-02,Quarter,$0.2900,2020-03-10,Unknown,$14.94,7.40%,Uncategorized,Other,2020-03-03,2020-02-13,No
TRTN-PR-B,Triton International Ltd - 8% PRF PERPETUAL USD 25 - Ser B,N/A,2020-03-06,Quarter,$0.5000,2020-03-16,Unknown,$26.94,7.39%,Uncategorized,Other,2020-03-09,2020-02-14,No
CIM-PR-A,Chimera Investment Corp 8 % Cumulative Redeemable Preferred Shares Series A,N/A,2020-02-27,Quarter,$0.5000,2020-03-31,Non-Qualified,$26.79,7.37%,Uncategorized,Other,2020-02-28,2020-02-11,No
CIM-PR-C,Chimera Investment Corp - FXDFR PRF PERPETUAL USD 25 - Ser C,N/A,2020-02-27,Quarter,$0.4844,2020-03-31,Non-Qualified,$26.34,7.36%,Uncategorized,Other,2020-02-28,2020-02-11,No
NGHCZ,National General Holdings Corp.,N/A,2020-02-27,Quarter,$0.4766,2020-03-16,Non-Qualified,$26.08,7.30%,Uncategorized,Other,2020-03-01,2015-08-13,No
STAR-PR-I,iStar Financial Inc. Preferred Series I,N/A,2020-02-28,Quarter,$0.4688,2020-03-16,Non-Qualified,N/A,7.30%,Uncategorized,Other,2020-03-02,2020-02-20,No
PIHPP,1347 Property Insurance Holdings Inc 8 % Cumulative Perpetual Redeemable Preferred Shares Series A,N/A,2020-02-27,Quarter,$0.5000,2020-03-16,Unknown,$27.47,7.28%,Uncategorized,Other,2020-03-01,2020-02-12,No
CIT-PR-B,CIT Group Inc - 5.625% PRF PERPETUAL USD 25 - Ser B,N/A,2020-02-27,Quarter,$0.4766,2020-03-16,Qualified,$26.07,7.26%,Uncategorized,Other,2020-02-28,2020-01-22,No
NLY-PR-D,Annaly Capital Management Inc Preferred Series D,N/A,2020-02-28,Quarter,$0.4688,2020-03-31,Non-Qualified,$25.95,7.22%,Uncategorized,Other,2020-03-02,2020-02-14,No
MFA-PR-B,"MFA Financial, Inc. Preferred Series B",N/A,2020-02-28,Quarter,$0.4688,2020-03-31,Non-Qualified,$25.91,7.21%,Uncategorized,Other,2020-03-02,2020-02-14,No
GBDC,Golub Capital BDC Inc,1.6,2020-03-05,Quarter,$0.3300,2020-03-27,Unknown,$18.37,7.17%,Financial,Closed End Fund Equity,2020-03-06,2020-02-04,No
BANC-PR-D,Banc of California Inc PRFD 'D',N/A,2020-02-27,Quarter,$0.4609,2020-03-16,Qualified,N/A,7.14%,Uncategorized,Other,2020-02-28,2020-02-10,No
BPR,Brookfield Property REIT Inc Class A,1.6,2020-02-27,Quarter,$0.3325,2020-03-31,Non-Qualified,$18.47,7.12%,Financial,Reit Retail,2020-02-28,2020-02-05,No
BPY,Brookfield Property Partners LP,2.4,2020-02-27,Quarter,$0.3325,2020-03-31,Unknown,$18.45,7.12%,Financial,Real Estate Development,2020-02-28,2020-02-05,No
IVR-PR-B,Invesco Mortgage Capital Inc - FXDFR PRF PERPETUAL USD 25 - Ser B,N/A,2020-03-04,Quarter,$0.4844,2020-03-27,Non-Qualified,$27.21,7.12%,Uncategorized,Other,2020-03-05,2020-02-18,No
BHPBF,BHP Group Plc,N/A,2020-03-05,Semi Annually,$0.6500,2020-03-24,Unknown,$21.95,7.11%,Uncategorized,Other,2020-03-06,N/A,No
FUN,Cedar Fair L.P.,2.0,2020-03-03,Quarter,$0.9350,2020-03-17,Unknown,$50.60,7.09%,Services,General Entertainment,2020-03-04,2020-02-19,No
TSLX,"TPG Specialty Lending, Inc.",2.6,2020-02-27,Quarter,$0.0600,2020-03-31,Qualified,$22.98,7.04%,Financial,Mortgage Investment,2020-02-28,2020-02-19,No
COWNZ,"Cowen, Inc., 7.35% Senior Notes Due 2027",N/A,2020-02-27,Quarter,$0.4594,2020-03-15,Non-Qualified,$26.04,7.02%,Uncategorized,Other,2020-03-01,2020-01-22,No
