Stock Symbol,Company Name,DARS Rating,Ex-Div Date,Payout Frequency,Div Payout,Pay Date,Qualified Dividend,Stock Price,Yield,Sector,Industry,Record Date,Declare Date,ADR
WFC-PR-V,Wells Fargo & Co. PRFD 'V',N/A,2020-02-27,Quarter,$0.3750,2020-03-16,Qualified,$26.05,5.75%,Uncategorized,Other,2020-02-28,2020-02-14,No
CUBI-PR-F,Customers Bancorp Inc Non-cumulative Preferred Shares Series F,N/A,2020-02-27,Quarter,$0.3750,2020-03-16,Qualified,N/A,5.74%,Uncategorized,Other,2020-02-28,2020-02-13,No
ESBK,Elmira Savings Bank (NY) Com.,1.4,2020-03-04,Quarter,$0.2300,2020-03-13,Qualified,$15.72,5.74%,Financial,Regional Northeast Banks,2020-03-05,2020-02-19,No
CSWCL,Capital Southwest Corporation 5.95% Notes due 2022,N/A,2020-02-27,Quarter,$0.3719,2020-03-16,Non-Qualified,$25.91,5.73%,Uncategorized,Other,2020-03-01,2020-02-13,No
RMCF,Rocky Mountain Chocolate Factory,1.2,2020-02-27,Quarter,$0.1200,2020-03-13,Unknown,$8.63,5.69%,Consumer Goods,Confectioners,2020-02-28,2020-02-18,No
WFC-PR-R,Wells Fargo & Company Dep Shs Repstg 1/1000th Int Perp Pfd Cl A (Ser R Fixed To Flltg),N/A,2020-02-27,Quarter,$0.4141,2020-03-16,Qualified,$29.23,5.62%,Uncategorized,Other,2020-02-28,2020-02-14,No
ESCA,"Escalade, Inc.",1.0,2020-03-06,Quarter,$0.1250,2020-03-16,Qualified,$9.01,5.59%,Consumer Goods,Sporting Goods,2020-03-09,2020-02-21,No
RF-PR-B,Regions Financial Corp PRFD 'B',N/A,2020-02-28,Quarter,$0.3984,2020-03-16,Qualified,$28.44,5.57%,Uncategorized,Other,2020-03-02,2020-02-06,No
SF-PR-B,Stifel Financial Corp. - 6.25% PRF PERPETUAL USD 25 - Ser B 1/1000 th int,N/A,2020-02-28,Quarter,$0.3906,2020-03-16,Qualified,$27.42,5.57%,Uncategorized,Other,2020-03-02,2020-01-30,No
GLPI,Gaming and Leisure Properties Inc,1.6,2020-03-05,Quarter,$0.7000,2020-03-20,Non-Qualified,$49.85,5.57%,Financial,Reit Diversified,2020-03-06,2020-02-21,No
AL-PR-A,Air Lease Corp - FXDFR PRF PERPETUAL USD 25 - Ser A,N/A,2020-02-27,Quarter,$0.3844,2020-03-15,Qualified,$27.37,5.56%,Uncategorized,Other,2020-02-29,2020-02-13,No
PJH,"Prudential Financial, Inc.",N/A,2020-02-27,Quarter,$0.3594,2020-03-16,Non-Qualified,$26.03,5.52%,Uncategorized,Other,2020-03-01,2020-01-21,No
RZA,Reinsurance Group of America Inc.,N/A,2020-02-27,Quarter,$0.3875,2020-03-16,Non-Qualified,$27.96,5.50%,Uncategorized,Other,2020-03-01,2020-01-21,No
PRH,VitaCube Systems Holdings Inc.,N/A,2020-02-27,Quarter,$0.3563,2020-03-16,Non-Qualified,$25.98,5.48%,Uncategorized,Other,2020-03-01,2020-01-22,No
WFC-PR-W,Wells Fargo & Co. - 5.70% PRF PERPETUAL USD 25,N/A,2020-02-27,Quarter,$0.3563,2020-03-16,Qualified,$26.08,5.44%,Uncategorized,Other,2020-02-28,2020-02-14,No
HSBC,HSBC Holdings plc,3.4,2020-02-27,Quarter,$1.0450,2020-04-14,Unknown,$35.45,5.43%,Financial,Foreign Money Center Banks,2020-02-28,N/A,Yes
SKLUY,Skellerup Holdings Ltd. - ADR,N/A,2020-03-04,Semi Annually,$0.0528,2020-04-03,Unknown,$29.70,5.43%,Uncategorized,Other,2020-03-05,N/A,No
NYCB-PR-A,"New York Community Bancorp, Inc. Non-cumulative Perrpetual Preferred Shares Series A",N/A,2020-03-05,Quarter,$0.3984,2020-03-17,Qualified,N/A,5.42%,Uncategorized,Other,2020-03-07,2020-02-21,No
ASB-PR-E,Associated Banc-Corp. - 5.875% PRF PERPETUAL USD 25 - Ser E,N/A,2020-02-28,Quarter,$0.3672,2020-03-16,Qualified,$27.20,5.39%,Uncategorized,Other,2020-03-02,2020-02-04,No
VIRT,Virtu Financial Inc,2.8,2020-02-28,Quarter,$0.2400,2020-03-16,Qualified,$18.97,5.39%,Financial,Diversified Investments,2020-03-02,2020-02-11,No
WFC-PR-Q,Wells Fargo & Co. - FXDFR PRF PERPETUAL USD 25 - Ser Q,N/A,2020-02-27,Quarter,$0.3656,2020-03-16,Qualified,$27.18,5.34%,Uncategorized,Other,2020-02-28,2020-02-14,No
CFR-PR-A,"Cullen/Frost Bankers, Inc. PRFD 'A'",N/A,2020-02-27,Quarter,$0.3359,2020-03-16,Qualified,$25.30,5.31%,Uncategorized,Other,2020-02-28,2020-01-29,No
STT-PR-D,State Street Corp. - FXDFR PRF PERPETUAL USD 25 - Ser D,N/A,2020-02-28,Quarter,$0.3687,2020-03-16,Qualified,$27.68,5.28%,Uncategorized,Other,2020-03-02,2020-02-12,No
WFC-PR-Y,"Wells Fargo & Company Non-Cumulative Perpetual Class A Preferred Stock, Series Y",N/A,2020-02-27,Quarter,$0.3516,2020-03-16,Qualified,$26.62,5.27%,Uncategorized,Other,2020-02-28,2020-02-14,No
AIG-PR-A,American International Group Inc - 5.85% PRF PERPETUAL USD 25 - Ser A 1/1000th Int,N/A,2020-02-27,Quarter,$0.3656,2020-03-16,Qualified,$27.72,5.26%,Uncategorized,Other,2020-02-28,2020-02-13,No
RNR-PR-E,RenaissanceRe Holdings Ltd. 5.375% Series E Preference Shares,N/A,2020-02-27,Quarter,$0.3359,2020-03-02,Unknown,$25.44,5.25%,Uncategorized,Other,2020-02-28,N/A,No
SWM,Schweitzer Maudit,1.0,2020-03-03,Quarter,$0.4400,2020-03-20,Qualified,$33.85,5.25%,Consumer Goods,Paper And Paper Products,2020-03-04,2020-02-20,No
WFC-PR-X,"Wells Fargo & Company Non-Cumulative Perpetual Class A Preferred Stock, Series X",N/A,2020-02-27,Quarter,$0.3438,2020-03-16,Qualified,$26.17,5.24%,Uncategorized,Other,2020-02-28,2020-02-14,No
RNR-PR-F,RenaissanceRe Holdings Ltd - 5.75% PRF PERPETUAL USD 25 - Ser F Dep Rep 1/1000,N/A,2020-02-27,Quarter,$0.3594,2020-03-02,Unknown,$27.49,5.23%,Uncategorized,Other,2020-02-28,2020-02-07,No
FBAK,First National Bank Alaska,N/A,2020-02-27,Quarter,$3.2000,2020-03-15,Qualified,$243.00,5.22%,Uncategorized,Other,2020-03-01,2020-01-30,No
ICL,Israel Chemicals Ltd.,3.2,2020-03-03,Quarter,$0.0180,2020-03-18,Unknown,$3.75,5.22%,Basic Materials,Agricultural Chemicals,2020-03-04,N/A,Yes
KEY-PR-J,Keycorp - 5.65% PRF PERPETUAL USD 25 - Ser F 1/40th,N/A,2020-02-28,Quarter,$0.3531,2020-03-16,Qualified,$27.12,5.19%,Uncategorized,Other,2020-03-02,2020-01-16,No
MRTI,Maxus Realty Trust Inc,N/A,2020-02-27,Monthly,$0.6000,2020-03-13,Non-Qualified,$138.75,5.19%,Uncategorized,Other,2020-02-28,2020-02-06,No
NTB,The Bank of N.T. Butterfield & Son Limited,2.4,2020-02-25,Quarter,$0.4400,2020-03-11,Unknown,$32.00,5.17%,Financial,Foreign Money Center Banks,2020-02-26,2020-02-12,No
CC,The Chemours Company,1.2,2020-02-26,Quarter,$0.2500,2020-03-16,Unknown,$18.40,5.14%,Basic Materials,Specialty Chemicals,2020-02-27,2020-02-12,No
GAM-PR-B,"General American Investors Co., Inc. 5.95% Cumulative Pfd Ser B",N/A,2020-03-06,Quarter,$0.3719,2020-03-24,Qualified,$28.71,5.14%,Uncategorized,Other,2020-03-09,2020-01-29,No
WFC-PR-P,Wells Fargo & Company Dep Shs Repstg 1/1000th Int Non Cum Perp Cl A Pfd (Ser P),N/A,2020-02-27,Quarter,$0.3281,2020-03-16,Qualified,$25.49,5.13%,Uncategorized,Other,2020-02-28,2020-02-14,No
ASB-PR-D,Associated Banc-Corp. - 5.375% PRF PERPETUAL USD 25 - Dep rep 1/40th Ser D,N/A,2020-02-28,Quarter,$0.3359,2020-03-16,Qualified,$25.99,5.13%,Uncategorized,Other,2020-03-02,2020-02-04,No
KEY-PR-K,Keycorp - 5.625% PRF PERPETUAL USD 25 - 1/40th Ser G,N/A,2020-02-28,Quarter,$0.3516,2020-03-16,Qualified,$27.36,5.12%,Uncategorized,Other,2020-03-02,2020-01-16,No
BK-PR-C,Bank Of New York Mellon Corp - 5.20% PRF PERPETUAL USD 25 - Ser C,N/A,2020-03-04,Quarter,$0.3250,2020-03-20,Qualified,$25.44,5.10%,Uncategorized,Other,2020-03-05,2020-01-16,No
WFC-PR-N,Wells Fargo & Company Dep Shs Repstg 1/1000th Perp Pfd Cl A Ser N,N/A,2020-02-27,Quarter,$0.3250,2020-03-16,Qualified,$25.49,5.09%,Uncategorized,Other,2020-02-28,2020-02-14,No
KEY-PR-I,KeyCorp Deposit Shs Repr 1/40th Non-Cumulative Preferred Shares Series E,N/A,2020-02-28,Quarter,$0.3828,2020-03-16,Qualified,$29.99,5.09%,Uncategorized,Other,2020-03-02,2020-01-16,No
LYB,LyondellBasell Industries,2.0,2020-02-28,Quarter,$1.0500,2020-03-09,Unknown,$79.64,5.07%,Basic Materials,Specialty Chemicals,2020-03-02,2020-02-21,No
CNAF,Commercial National Financial Corp. (PA) Com.,1.4,2020-02-27,Quarter,$0.2600,2020-03-06,Qualified,$20.60,5.05%,Financial,Regional Midwest Banks,2020-02-28,2020-02-18,No
MET-PR-E,Metlife Inc - 5.625% PRF PERPETUAL USD 25 - Ser E,N/A,2020-02-27,Quarter,$0.3516,2020-03-16,Qualified,$27.75,5.04%,Uncategorized,Other,2020-02-29,2020-02-18,No
FMY,First Trust/FIDAC Mortgage Income Fund,N/A,2020-03-02,Monthly,$0.0600,2020-03-16,Unknown,$14.15,5.04%,Uncategorized,Other,2020-03-03,2020-02-20,No
NUS,Nu Skin Enterprises,2.4,2020-02-27,Quarter,$0.3750,2020-03-11,Qualified,$28.55,5.04%,Services,Drugs Wholesale,2020-02-28,2020-02-12,No
SBNCM,Southern Bancshares Inc. - PRF PERPETUAL USD - Class B 0%,N/A,2020-02-27,Quarter,$0.2200,2020-03-13,Qualified,$17.50,5.03%,Uncategorized,Other,2020-02-28,2020-01-21,No
WFC-PR-O,Wells Fargo & Company Depositary Shares Representing 1/1000th Perpetual Preferred Class A,N/A,2020-02-27,Quarter,$0.3203,2020-03-16,Qualified,$25.43,5.02%,Uncategorized,Other,2020-02-28,2020-02-14,No
IPLDP,Interstate Power & Light Co 5.1 % Cumulative Perpetual Preferred Shares Series D,N/A,2020-02-27,Quarter,$0.3188,2020-03-16,Qualified,$25.59,4.98%,Uncategorized,Other,2020-02-28,2020-02-13,No
CNK,Cinemark Holdings,3.0,2020-03-05,Quarter,$0.3600,2020-03-20,Qualified,$28.99,4.94%,Services,Movie Production Theaters,2020-03-06,2020-02-21,No
BAC-PR-M,Bank Of America Corp. - 5.375% PRF PERPETUAL USD 25 - Dp Sh1/1000th int KK,N/A,2020-02-27,Quarter,$0.3359,2020-03-25,Qualified,$27.13,4.94%,Uncategorized,Other,2020-03-01,2020-01-17,No
SOJC,"Southern Co., 5.25% Series 2017B Junior Subordinated Notes due 2077",N/A,2020-02-27,Quarter,$0.3281,2020-03-01,Non-Qualified,$26.65,4.90%,Uncategorized,Other,2020-02-28,2020-01-21,No
NNN-PR-F,National Retail Properties Inc 5.20 % Cumulative Redeemable Preferred Shares Series F0,N/A,2020-02-27,Quarter,$0.3250,2020-03-16,Non-Qualified,$26.48,4.90%,Uncategorized,Other,2020-02-28,2020-02-14,No
ENJ,"Entergy New Orleans, Inc. First",N/A,2020-02-27,Quarter,$0.3125,2020-03-02,Non-Qualified,$25.73,4.87%,Uncategorized,Other,2020-02-28,2019-10-28,No
CTT,"CatchMark Timber Trust, Inc",1.2,2020-02-27,Quarter,$0.1350,2020-03-16,Non-Qualified,$10.88,4.86%,Industrial Goods,Lumber Wood Production,2020-02-28,2020-02-13,No
WFC-PR-L,Wells Fargo & Co. 7.5% Perp Pfd Conv Cl A Ser L,N/A,2020-02-27,Quarter,$18.7500,2020-03-16,Qualified,"$1,559.50",4.84%,Uncategorized,Other,2020-02-28,2020-02-14,No
PBCTP,People`s United Financial Inc - FXDFR PRF PERPETUAL USD 25 - Ser A,N/A,2020-02-27,Quarter,$0.3516,2020-03-15,Qualified,$28.95,4.83%,Uncategorized,Other,2020-03-01,2020-01-16,No
WBS-PR-F,Webster Financial Corp. - 5.25% PRF PERPETUAL USD 25 - Ser F 1/1000 Int,N/A,2020-02-27,Quarter,$0.3281,2020-03-15,Qualified,$27.16,4.81%,Uncategorized,Other,2020-03-01,2020-01-28,No
RZB,RZB,N/A,2020-02-27,Quarter,$0.3594,2020-03-16,Non-Qualified,$29.60,4.81%,Uncategorized,Other,2020-03-01,2019-10-28,No
AIZP,Assurant Inc - 6.50% PRF CONVERT 15/03/2021 USD 100 - Ser D,N/A,2020-02-27,Quarter,$1.6250,2020-03-16,Non-Qualified,$135.35,4.74%,Uncategorized,Other,2020-03-01,2020-01-14,No
EAB,"Entergy Arkansas, 4.90% Series First Mortgage Bonds",N/A,2020-02-27,Quarter,$0.3063,2020-03-02,Non-Qualified,$25.67,4.72%,Uncategorized,Other,2020-02-28,2019-10-28,No
BAC-PR-N,Bank Of America Corp. - 5% PRF PERPETUAL USD 25 - Ser LL DpSh1/1000th,N/A,2020-02-27,Quarter,$0.3125,2020-03-17,Qualified,$26.39,4.70%,Uncategorized,Other,2020-03-01,2020-01-17,No
TPR,Tapestry Inc.,2.8,2020-03-05,Quarter,$0.3375,2020-03-30,Qualified,$25.77,4.69%,Consumer Goods,Textile Apparel Clothing,2020-03-06,2020-02-20,No
EAE,"Entergy Arkansas, Inc. First Mortgage Bonds 4.75% Series Due June 1, 2063",N/A,2020-02-27,Quarter,$0.2969,2020-03-02,Non-Qualified,$25.40,4.67%,Uncategorized,Other,2020-02-28,2019-10-28,No
VOYA-PR-B,Voya Financial Inc - FXDFR PRF PERPETUAL USD 25 - Ser B 1/40th Int,N/A,2020-02-27,Quarter,$0.3344,2020-03-16,Qualified,$28.67,4.66%,Uncategorized,Other,2020-02-28,2020-01-30,No
STT-PR-G,State Street Corp. - FXDFR PRF PERPETUAL USD 25 - Ser G,N/A,2020-02-28,Quarter,$0.3343,2020-03-16,Qualified,$28.54,4.63%,Uncategorized,Other,2020-03-02,2020-02-12,No
ELU,"Entergy Louisiana, Inc.",N/A,2020-02-27,Quarter,$0.2938,2020-03-02,Non-Qualified,$25.42,4.63%,Uncategorized,Other,2020-02-28,2019-10-28,No
NWL,Newell Brands Inc,2.4,2020-02-27,Quarter,$0.2300,2020-03-13,Qualified,$18.38,4.63%,Consumer Goods,Housewares And Accessories,2020-02-28,2020-02-05,No
NBH,Neuberger Berman Intermediate Municipal Fund Inc,1.6,2020-02-27,Monthly,$0.0624,2020-03-16,Unknown,$16.52,4.62%,Financial,Closed End Fund Debt,2020-02-28,2020-02-18,No
FT,Franklin Universal Trust Shs. Ben. Int.,1.6,2020-02-27,Monthly,$0.0320,2020-03-13,Unknown,$8.21,4.62%,Financial,Closed End Fund Debt,2020-02-28,2020-02-18,No
VEON,VEON Ltd - ADR,N/A,2020-02-26,Semi Annually,$0.1150,2020-03-05,Unknown,$2.31,4.61%,Uncategorized,Other,2020-02-27,N/A,No
CMP,Compass Minerals International,3.4,2020-02-28,Quarter,$0.7200,2020-03-16,Qualified,$61.29,4.58%,Basic Materials,Synthetics,2020-03-02,2020-02-19,No
AMCR,Amcor PLC Ordinary Shares,N/A,2020-03-03,Quarter,$0.1150,2020-03-24,Unknown,$10.04,4.49%,Uncategorized,Other,2020-03-04,2020-02-11,No
SCE-PR-D,Southern California Edison Co. 4.32% pfd,N/A,2020-03-04,Quarter,$0.2700,2020-03-31,Qualified,$24.67,4.45%,Uncategorized,Other,2020-03-05,2019-12-12,No
STAG,"STAG Industrial, Inc.",2.2,2020-02-27,Monthly,$0.1200,2020-03-16,Non-Qualified,$32.42,4.43%,Financial,Reit Industrial,2020-02-28,2020-01-09,No
NAVI,Navient Corp,2.6,2020-03-05,Quarter,$0.1600,2020-03-20,Qualified,$13.40,4.43%,Financial,Credit Services,2020-03-06,2020-02-18,No
GOGL,Golden Ocean Group Limited,1.4,2020-03-05,Quarter,$0.0500,2020-03-19,Unknown,$4.14,4.42%,Services,Shipping,2020-03-06,2020-02-18,No
WY,Weyerhaeuser,2.8,2020-03-05,Quarter,$0.3400,2020-03-20,Non-Qualified,$30.73,4.41%,Industrial Goods,Lumber Wood Production,2020-03-06,2020-02-14,No
GM,General Motors Company,1.4,2020-03-05,Quarter,$0.3800,2020-03-20,Qualified,$33.05,4.39%,Consumer Goods,Auto Manufacturers Major,2020-03-06,2020-02-03,No
PDER,Pardee Res Co,N/A,2020-02-27,Quarter,$1.8000,2020-03-06,Non-Qualified,$162.80,4.36%,Uncategorized,Other,2020-02-28,2020-02-13,No
HOG,Harley-Davidson,2.4,2020-03-04,Quarter,$0.3800,2020-03-20,Qualified,$34.03,4.32%,Consumer Goods,Recreational Vehicles,2020-03-05,2020-02-19,No
LCNB,LCNB Corp.,2.4,2020-02-28,Quarter,$0.1800,2020-03-16,Qualified,$16.53,4.23%,Financial,Regional Mid Atlantic Banks,2020-03-02,2020-02-18,No
CSPI,CSP Inc.,0.8,2020-02-27,Quarter,$0.1500,2020-03-13,Qualified,$13.50,4.21%,Technology,Business Software And Services,2020-02-28,2020-02-12,No
D,Dominion Resources,3.6,2020-02-27,Quarter,$0.9400,2020-03-20,Qualified,$89.27,4.21%,Utilities,Electric Utilities,2020-02-28,2020-01-24,No
IPG,Interpublic Group,3.6,2020-02-28,Quarter,$0.2550,2020-03-16,Qualified,$23.87,4.18%,Services,Advertising Agencies,2020-03-02,2020-02-12,No
DEA,"Easterly Government Properties, Inc.",1.6,2020-03-04,Quarter,$0.2600,2020-03-26,Qualified,$24.96,4.12%,Financial,Real Estate Development,2020-03-05,2020-02-19,No
TAP,Molson Coors,2.4,2020-03-06,Quarter,$0.5700,2020-03-20,Qualified,$53.94,4.11%,Consumer Goods,Beverages Brewers,2020-03-09,2020-02-20,No
CMS-PR-B,Consumers Energy Co. $4.50 pfd,N/A,2020-02-28,Quarter,$1.1250,2020-04-01,Qualified,$108.98,4.11%,Uncategorized,Other,2020-03-02,2020-02-07,No
NL,NL Industries,1.8,2020-03-02,Quarter,$0.0400,2020-03-17,Qualified,$3.74,4.10%,Basic Materials,Synthetics,2020-03-03,2020-02-19,No
HEES,H&E Equipment Services Inc.,2.2,2020-02-27,Quarter,$0.2750,2020-03-13,Unknown,$25.25,4.10%,Services,Rental And Leasing Services,2020-02-28,2020-02-14,No
FNB,F.N.B Corporation,2.6,2020-03-04,Quarter,$0.1200,2020-03-15,Qualified,$11.37,4.06%,Financial,Regional Southeast Banks,2020-03-05,2020-02-21,No
AEB,AEGON N.V. 5.29964% Perp Cap Secs Fltg Rate,N/A,2020-02-27,Quarter,$0.2528,2020-03-16,Non-Qualified,$24.99,4.05%,Uncategorized,Other,2020-03-01,2019-12-13,No
XPER,Xperi Corporation,1.6,2020-03-03,Quarter,$0.2000,2020-03-25,Qualified,$19.42,4.04%,Technology,Semiconductor Equipment And Materials,2020-03-04,2020-01-30,No
PFG,Principal Financial Group,2.6,2020-02-28,Quarter,$0.5600,2020-03-27,Qualified,$51.65,4.00%,Financial,Asset Management,2020-03-02,2020-01-28,No
AYR,Aircastle Ltd.,2.2,2020-02-27,Quarter,$0.3200,2020-03-06,Qualified,$32.19,3.97%,Services,Rental And Leasing Services,2020-02-28,2020-02-10,No
CTGSP,Connecticut Natural Gas Corp - 8% PRF PERPETUAL USD 3.125,N/A,2020-02-28,Quarter,$0.0625,2020-03-30,Qualified,$6.30,3.97%,Uncategorized,Other,2020-03-02,2020-01-30,No
ARCH,Arch Coal Inc Class A,1.8,2020-03-02,Quarter,$0.5000,2020-03-13,Qualified,$49.83,3.89%,Basic Materials,Industrial Metals And Minerals,2020-03-03,2020-02-06,No
SAFT,Safety Insurance Group,1.6,2020-02-28,Quarter,$0.9000,2020-03-16,Qualified,$92.06,3.88%,Financial,Property And Casualty Insurance,2020-03-02,2020-02-14,No
BIP,Brookfield Infrastructure Partners L.P.,3.0,2020-02-27,Quarter,$0.5375,2020-03-31,Unknown,$54.48,3.88%,Utilities,Electric Utilities,2020-02-28,2020-02-07,No
BEP,Brookfield Renewable Energy Partners LP Partnership Units (Bermuda),1.8,2020-02-27,Quarter,$0.5425,2020-03-30,Unknown,$55.12,3.85%,Utilities,Diversified Utilities,2020-02-28,2020-01-13,No
PCH,Potlatch,3.0,2020-03-05,Quarter,$0.4000,2020-03-31,Non-Qualified,$42.07,3.82%,Consumer Goods,Paper And Paper Products,2020-03-06,2020-02-14,No
WSTG,Wayside Technology Group,1.4,2020-02-28,Quarter,$0.1700,2020-03-06,Qualified,$17.04,3.78%,Services,Computers Wholesale,2020-03-02,2020-02-18,No
CXP,"Columbia Property Trust, Inc.",1.6,2020-02-28,Quarter,$0.2100,2020-03-17,Qualified,$21.87,3.77%,Financial,Reit Office,2020-03-02,2020-02-10,No
KEY,KeyCorp,2.6,2020-03-02,Quarter,$0.1850,2020-03-13,Qualified,$18.93,3.76%,Financial,Money Center Banks,2020-03-03,2020-01-16,No
CWEN-A,Clearway Energy Inc - Ordinary Shares - Class A,N/A,2020-02-28,Quarter,$0.2100,2020-03-16,Qualified,$22.35,3.76%,Uncategorized,Other,2020-03-02,2020-02-19,No
EAT,Brinker International,2.4,2020-03-05,Quarter,$0.3800,2020-03-26,Qualified,$38.94,3.76%,Services,Restaurants,2020-03-06,2020-01-27,No
FFBC,First Financial Bancorp,2.8,2020-02-28,Quarter,$0.2300,2020-03-16,Qualified,$23.60,3.75%,Financial,Regional Midwest Banks,2020-03-02,2020-01-28,No
RF,Regions Financial Corp.,2.6,2020-03-05,Quarter,$0.1550,2020-04-01,Qualified,$15.79,3.75%,Financial,Regional Southeast Banks,2020-03-06,2020-02-06,No
ODP,Office Depot Inc,1.0,2020-02-28,Quarter,$0.0250,2020-03-13,Qualified,$2.39,3.73%,Services,Specialty Retail Other,2020-03-02,2020-02-04,No
CWEN,"Clearway Energy, Inc.",1.6,2020-02-28,Quarter,$0.2100,2020-03-16,Qualified,$22.21,3.67%,Utilities,Electric Utilities,2020-03-02,2020-02-19,No
NBW,Neuberger Berman California Intermediate Municipal Fund Inc,2.0,2020-02-27,Monthly,$0.0448,2020-03-16,Unknown,$14.59,3.67%,Financial,Closed End Fund Debt,2020-02-28,2020-02-18,No
EMCF,Emclaire Financial Corp.,1.8,2020-02-28,Quarter,$0.3000,2020-03-20,Non-Qualified,$32.84,3.65%,Financial,Regional Northeast Banks,2020-03-02,2020-02-19,No
NBO,Neuberger Berman New York Intermediate Municipal Fund Inc,2.0,2020-02-27,Monthly,$0.0393,2020-03-16,Unknown,$12.97,3.62%,Financial,Closed End Fund Debt,2020-02-28,2020-02-18,No
ASB,Associated Bancorp,3.8,2020-02-28,Quarter,$0.1800,2020-03-16,Qualified,$19.10,3.61%,Financial,Regional Midwest Banks,2020-03-02,2020-02-04,No
CVR,Chicago Rivet & Machine Co.,1.4,2020-03-04,Quarter,$0.2200,2020-03-20,Qualified,$24.60,3.57%,Industrial Goods,Machine Tools And Accessories,2020-03-05,2020-02-17,No
TAP-A,Molson Coors Brewing Co. Cl A,N/A,2020-03-06,Quarter,$0.5700,2020-03-20,Qualified,$64.00,3.56%,Uncategorized,Other,2020-03-09,2020-02-20,No
FBPA,Farmers Bank Appomattox Va,N/A,2020-02-26,Semi Annually,$0.5000,2020-03-06,Non-Qualified,$28.20,3.55%,Uncategorized,Other,2020-02-27,2020-02-11,No
K,Kellogg Co.,3.6,2020-03-02,Quarter,$0.5700,2020-03-16,Qualified,$64.49,3.48%,Consumer Goods,Processed And Packaged Goods,2020-03-03,2020-02-21,No
TRST,TrustCo Bank,2.0,2020-03-05,Quarter,$0.0681,2020-04-01,Qualified,$7.67,3.48%,Financial,Regional Northeast Banks,2020-03-06,2020-02-18,No
KINS,"Kingstone Companies, Inc.",2.4,2020-02-27,Quarter,$0.0625,2020-03-13,Qualified,$7.03,3.47%,Financial,Property And Casualty Insurance,2020-02-28,2020-02-06,No
FLO,Flowers Foods,3.4,2020-02-27,Quarter,$0.1900,2020-03-13,Qualified,$21.86,3.45%,Consumer Goods,Processed And Packaged Goods,2020-02-28,2020-02-14,No
EAF,GrafTech International Ltd.,1.6,2020-02-27,Quarter,$0.0850,2020-03-31,Unknown,$9.54,3.42%,Industrial Goods,Industrial Equipment And Components,2020-02-28,2020-02-05,No
PDM,Piedmont Office Realty Trust,3.2,2020-02-27,Quarter,$0.2100,2020-03-20,Non-Qualified,$24.16,3.42%,Financial,Reit Office,2020-02-28,2020-02-04,No
CATY,Cathay General Bancorp,4.0,2020-02-28,Quarter,$0.3100,2020-03-12,Qualified,$35.16,3.42%,Financial,Regional Pacific Banks,2020-03-02,2020-02-20,No
CAKE,Cheescake Factory,3.2,2020-03-06,Quarter,$0.3600,2020-03-20,Qualified,$41.40,3.42%,Services,Restaurants,2020-03-09,2020-02-18,No
NGVC,Natural Grocers by Vitamin Cottage Inc,N/A,2020-02-28,Quarter,$0.0700,2020-03-17,Qualified,$7.75,3.41%,Uncategorized,Other,2020-03-02,2020-02-06,No
BLMN,Bloomin' Brands Inc,3.6,2020-02-27,Quarter,$0.2000,2020-03-13,Qualified,$23.25,3.41%,Services,Restaurants,2020-02-28,2020-02-11,No
O,Realty Income Corp,3.8,2020-02-28,Monthly,$0.2325,2020-03-13,Non-Qualified,$83.32,3.41%,Financial,Reit Retail,2020-03-02,2020-02-13,No
MBWM,Mercantile Bank Corp,3.0,2020-03-05,Quarter,$0.2800,2020-03-18,Qualified,$31.95,3.40%,Financial,Regional Midwest Banks,2020-03-06,2020-01-16,No
HAL,Halliburton Company,3.2,2020-03-03,Quarter,$0.1800,2020-03-25,Qualified,$20.06,3.39%,Basic Materials,Oil And Gas Equipment And Services,2020-03-04,2020-02-13,No
POPE,Pope Resources L.P.,1.2,2020-03-03,Quarter,$1.0000,2020-03-18,Unknown,$114.46,3.37%,Industrial Goods,Lumber Wood Production,2020-03-04,2020-02-19,No
CRD-A,Crawford & Co. Cl A,2.6,2020-02-26,Quarter,$0.0700,2020-03-11,Qualified,$8.22,3.35%,Financial,Insurance Brokers,2020-02-27,2020-02-11,No
MYBF,Muncy Bank Financial Inc,N/A,2020-03-04,Quarter,$0.3500,2020-03-13,Qualified,$41.80,3.33%,Uncategorized,Other,2020-03-05,2020-02-19,No
PFOH,"Perpetual Federal Savings Bank (Urbana,OH)",N/A,2020-03-05,Quarter,$0.2500,2020-03-20,Qualified,$30.00,3.33%,Uncategorized,Other,2020-03-06,2020-02-14,No
NMRK,"Newmark Group, Inc. Class A",2.8,2020-03-04,Quarter,$0.1000,2020-03-23,Qualified,$11.18,3.32%,Financial,Property Management,2020-03-05,2020-02-12,No
JNPR,"Juniper Networks, Inc.",2.0,2020-02-28,Quarter,$0.2000,2020-03-23,Unknown,$23.51,3.31%,Technology,Networking And Communication Devices,2020-03-02,2020-01-27,No
KSU-PR,Kansas City Southern 4% Pfd,N/A,2020-03-06,Quarter,$0.2500,2020-04-07,Qualified,N/A,3.30%,Uncategorized,Other,2020-03-09,2020-01-30,No
CPF,Central Pacific Financial Corp,3.0,2020-02-27,Quarter,$0.2300,2020-03-16,Qualified,$27.12,3.30%,Financial,Regional Pacific Banks,2020-02-28,2020-01-29,No
SHTLF,South32 Limited,N/A,2020-03-05,Semi Annually,$0.0110,2020-04-02,Unknown,$1.60,3.29%,Uncategorized,Other,2020-03-06,N/A,No
